Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.539994,33.061,33.363,0.120,5.306,28.821
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.539838,33.169,33.363,0.109,5.281,28.978
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.569082,16.234,16.680,0.143,2.368,16.387
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.586116,17.034,16.674,0.227,1.701,16.027
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.586353,33.278,33.352,0.064,1.653,15.795
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.572761,32.767,33.349,0.123,5.035,29.404
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.572607,32.769,33.349,0.110,4.998,29.559
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.619500,33.384,33.366,0.218,1.687,16.009
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.619729,33.376,33.366,0.063,1.650,15.784
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.606081,33.320,33.365,0.173,5.148,29.449
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.605929,33.322,33.365,0.109,5.103,29.602
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.652850,33.350,33.353,0.255,1.701,16.012
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.653109,33.381,33.352,0.050,1.511,15.756
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.639378,33.297,33.353,0.127,3.562,29.504
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.639203,33.275,33.354,0.128,3.555,29.681
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.669279,16.430,16.693,0.145,1.920,16.276
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.686247,16.968,16.681,0.210,1.779,15.990
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.686461,33.352,33.377,0.053,1.633,15.781
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.673680,34.302,33.383,0.129,3.781,28.586
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.673526,34.322,33.383,0.110,3.738,28.741
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.719720,33.473,33.350,0.259,1.804,15.867
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.719983,33.522,33.350,0.058,1.611,15.609
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.706422,32.742,33.345,0.175,5.292,29.188
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.706295,32.770,33.345,0.081,5.194,29.317
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,2,0,Hardware: Legacy Flip,0,37.735768,16.048,16.697,0.166,1.074,16.517
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.753021,17.253,16.667,0.210,1.641,15.930
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.753250,33.266,33.364,0.096,1.586,15.706
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.739808,33.386,33.362,0.040,5.072,29.164
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.739573,33.278,33.361,0.109,5.115,29.400
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.769287,16.266,16.686,0.149,1.981,16.350
