Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.506294,33.626,33.389,0.116,4.973,30.005
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.553778,33.427,33.365,0.250,2.619,15.844
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.554033,33.450,33.369,0.056,2.437,15.599
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.540186,33.723,33.368,0.192,3.798,29.480
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.540034,33.740,33.368,0.102,3.772,29.634
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.570301,16.522,16.675,0.379,1.917,15.997
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.587114,16.813,16.671,0.211,2.514,15.855
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.587333,33.300,33.341,0.101,2.468,15.639
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.573945,33.759,33.325,0.135,4.494,29.046
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.573791,33.757,33.324,0.108,4.455,29.201
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.620420,33.306,33.356,0.225,2.431,15.905
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.620654,33.320,33.356,0.063,2.380,15.675
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.606678,32.732,33.357,0.098,4.909,29.670
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.606521,32.730,33.357,0.101,4.877,29.828
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.653685,33.265,33.364,0.219,2.514,16.005
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.653909,33.255,33.366,0.053,2.362,15.786
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.639614,32.937,33.369,0.115,5.087,30.103
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.639469,32.948,33.369,0.098,5.048,30.249
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.687114,33.429,33.362,0.212,2.453,15.938
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.687330,33.422,33.363,0.057,2.306,15.727
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.672778,33.164,33.365,0.148,4.839,30.305
